,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
0,neg -,neg-,"[0.9879760837954714, 0.9917448977158995, 0.9638005314986081]",neg-,"[3.0, 1.0, 3.0]",neg-,"[5, 1, 6]",jw,neg-
1,pos +,posi,"[0.9919681120011349, 0.9876173465281163, 0.9759999997463283]",posi,"[1.73, 3.0, 2.65]",posi,"[2, 5, 7]",jw,posi
2,posi +,posi,"[0.9839348955844919, 0.9752187495807854, 0.9839837236944243]",posi,"[1.41, 3.16, 2.83]",posi,"[2, 6, 8]",jw,weak-pos
3,negative,neg-,"[0.9639438996005296, 0.9749320146117763, 0.9754812011598923]",neg-,"[3.46, 2.45, 3.46]",neg-,"[7, 5, 7]",jw,weak-pos
4,pos(11.00),posi,"[0.96772819452649, 0.9487390308236289, 0.9839348322239635]",posi,"[3.46, 4.24, 4.0]",posi,"[7, 10, 10]",jw,weak-pos
5,pos(6.6),posi,"[0.97586695634458, 0.9624041578272653, 0.9839348322232057]",posi,"[2.83, 3.74, 3.46]",posi,"[5, 8, 8]",jw,weak-pos
6,pos(6.9),posi,"[0.9677282525757317, 0.948739117898132, 0.9978124313205108]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
7,pos(7.0),posi,"[0.9677282587958461, 0.9487391272762539, 0.9978123149722451]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
8,pos(7.2),posi,"[0.96772819452649, 0.9487390308722196, 0.9978118285983436]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
9,pos(7.1),posi,"[0.9677282608670266, 0.9487390308236289, 0.9978123168777311]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
10,pos(6.8),posi,"[0.9677282608695642, 0.948739030726339, 0.997812438948974]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
11,pos(6.0),posi,"[0.9677282587953469, 0.9487391272275548, 0.9978124370425566]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
12,pos(6.1),posi,"[0.9677282608665273, 0.948739030726339, 0.9978124389480426]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
13,pos(6.2),posi,"[0.9677281945259909, 0.9487390308235205, 0.9978119506686552]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
14,pos(6.3),posi,"[0.9677281945249785, 0.9487390307257223, 0.9978124389499035]",posi,"[2.45, 3.46, 3.16]",posi,"[5, 8, 8]",jw,weak-pos
