,Data,cos_word,cos_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
0,+,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+,"[0.0, 1.0, 2.0, 2.45, 2.0, 2.0, 7.0, 2.65, 3.61, 4.36, 2.65, 3.16, 2.65, 2.45]",+,"[0, 1, 2, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+
1,++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",++,"[1.0, 0.0, 1.0, 3.0, 2.65, 2.65, 7.21, 3.16, 4.0, 4.69, 3.16, 3.61, 3.16, 3.0]",++,"[1, 0, 1, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,++
2,+++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+++,"[2.0, 1.0, 0.0, 3.74, 3.46, 3.46, 7.55, 3.87, 4.58, 5.2, 3.87, 4.24, 3.87, 3.74]",+++,"[2, 1, 0, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+++
3,++++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+++,"[3.0, 2.0, 1.0, 4.58, 4.36, 4.36, 8.0, 4.69, 5.29, 5.83, 4.69, 5.0, 4.69, 4.58]",+++,"[3, 2, 1, 5, 4, 4, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+++
4,+,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+,"[0.0, 1.0, 2.0, 2.45, 2.0, 2.0, 7.0, 2.65, 3.61, 4.36, 2.65, 3.16, 2.65, 2.45]",+,"[0, 1, 2, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+
5,++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",++,"[1.0, 0.0, 1.0, 3.0, 2.65, 2.65, 7.21, 3.16, 4.0, 4.69, 3.16, 3.61, 3.16, 3.0]",++,"[1, 0, 1, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,++
6,+++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+++,"[2.0, 1.0, 0.0, 3.74, 3.46, 3.46, 7.55, 3.87, 4.58, 5.2, 3.87, 4.24, 3.87, 3.74]",+++,"[2, 1, 0, 5, 3, 3, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+++
7,++++,+,"[1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",+++,"[3.0, 2.0, 1.0, 4.58, 4.36, 4.36, 8.0, 4.69, 5.29, 5.83, 4.69, 5.0, 4.69, 4.58]",+++,"[3, 2, 1, 5, 4, 4, 22, 6, 8, 10, 6, 7, 6, 5]",Eucl,+++
8,A Few,A Few,"[0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.32, 0.18, 0.26, 0.32, 0.18, 0.3, 0.37, 0.4]",A Few,"[2.45, 3.0, 3.74, 0.0, 2.83, 2.83, 6.56, 3.0, 3.61, 4.12, 3.0, 3.16, 2.65, 2.45]",A Few,"[5, 5, 5, 0, 5, 5, 20, 6, 7, 10, 6, 6, 4, 5]",cosine,A Few
9,A few,A Few,"[0.0, 0.0, 0.0, 1, 0.0, 0.0, 0.32, 0.18, 0.26, 0.32, 0.18, 0.3, 0.37, 0.4]",A Few,"[2.45, 3.0, 3.74, 0.0, 2.83, 2.83, 6.56, 3.0, 3.61, 4.12, 3.0, 3.16, 2.65, 2.45]",A Few,"[5, 5, 5, 1, 5, 5, 20, 6, 7, 10, 6, 6, 4, 5]",cosine,A Few
10,Absent,Absent,"[0.0, 0.0, 0.0, 0.37, 0.47, 0.24, 0.47, 0.33, 0.47, 0.48, 0.5, 0.68, 1, 0.55]",Absent,"[2.65, 3.16, 3.87, 2.65, 2.24, 2.65, 6.16, 2.83, 3.16, 3.74, 2.45, 2.24, 0.0, 2.24]",Absent,"[6, 6, 6, 4, 6, 6, 20, 6, 7, 8, 4, 3, 0, 6]",cosine,Absent
11,Few,A Few,"[0.0, 0.0, 0.0, 0.77, 0.0, 0.0, 0.17, 0.0, 0.17, 0.0, 0.24, 0.38, 0.24, 0.26]",A Few,"[2.0, 2.65, 3.46, 1.41, 2.45, 2.45, 6.86, 3.0, 3.61, 4.58, 2.65, 2.83, 2.65, 2.45]",A Few,"[3, 3, 3, 2, 3, 3, 21, 6, 8, 10, 5, 6, 5, 5]",cosine,A Few
12,N/S,N\S,"[0.0, 0.0, 0.0, 0.0, 0.67, 0.33, 0.42, 0.24, 0.33, 0.27, 0.24, 0.38, 0.47, 0.0]",N\S,"[2.0, 2.65, 3.46, 2.83, 1.41, 2.0, 6.4, 2.65, 3.32, 4.12, 2.65, 2.83, 2.24, 2.83]",N\S,"[3, 3, 3, 5, 1, 2, 20, 5, 7, 10, 6, 7, 6, 5]",cosine,N\S
13,N/s,N\S,"[0.0, 0.0, 0.0, 0.0, 0.67, 0.33, 0.42, 0.24, 0.33, 0.27, 0.24, 0.38, 0.47, 0.0]",N\S,"[2.0, 2.65, 3.46, 2.83, 1.41, 2.0, 6.4, 2.65, 3.32, 4.12, 2.65, 2.83, 2.24, 2.83]",N\S,"[3, 3, 3, 5, 2, 2, 20, 5, 7, 9, 6, 6, 5, 5]",cosine,N\S
14,NIl,Nil,"[0.0, 0.0, 0.0, 0.0, 0.33, 1, 0.42, 0.47, 0.33, 0.41, 0.47, 0.19, 0.24, 0.0]",Nil,"[2.0, 2.65, 3.46, 2.83, 2.0, 0.0, 6.4, 2.24, 3.32, 3.87, 2.24, 3.16, 2.65, 2.83]",Nil,"[3, 3, 3, 5, 2, 1, 21, 4, 7, 9, 6, 7, 6, 5]",cosine,Nil
15,Nil,Nil,"[0.0, 0.0, 0.0, 0.0, 0.33, 1, 0.42, 0.47, 0.33, 0.41, 0.47, 0.19, 0.24, 0.0]",Nil,"[2.0, 2.65, 3.46, 2.83, 2.0, 0.0, 6.4, 2.24, 3.32, 3.87, 2.24, 3.16, 2.65, 2.83]",Nil,"[3, 3, 3, 5, 2, 0, 20, 4, 7, 8, 6, 7, 6, 5]",cosine,Nil
16,No microorganism seen.,No Migro-organism Seen,"[0.0, 0.0, 0.0, 0.33, 0.43, 0.43, 0.96, 0.66, 0.68, 0.52, 0.3, 0.54, 0.48, 0.4]",No Migro-organism Seen,"[6.86, 7.07, 7.42, 6.4, 6.24, 6.24, 2.0, 5.48, 5.1, 5.83, 6.48, 5.74, 6.0, 6.24]",No Migro-organism Seen,"[22, 22, 22, 20, 21, 20, 5, 18, 17, 19, 21, 18, 19, 19]",cosine,No Migro-organism Seen
17,Normal,Normal,"[0.0, 0.0, 0.0, 0.18, 0.24, 0.47, 0.65, 1, 0.47, 0.58, 0.33, 0.27, 0.33, 0.37]",Normal,"[2.65, 3.16, 3.87, 3.0, 2.65, 2.24, 5.66, 0.0, 3.16, 3.46, 2.83, 3.32, 2.83, 2.65]",Normal,"[6, 6, 6, 6, 5, 4, 18, 0, 6, 8, 6, 7, 6, 5]",cosine,Normal
18,Normal.,Normal,"[0.0, 0.0, 0.0, 0.17, 0.22, 0.44, 0.6, 0.93, 0.44, 0.53, 0.31, 0.25, 0.31, 0.34]",Normal,"[2.83, 3.32, 4.0, 3.16, 2.83, 2.45, 5.74, 1.0, 3.32, 3.61, 3.0, 3.46, 3.0, 2.83]",Normal,"[7, 7, 7, 7, 6, 5, 18, 1, 6, 9, 7, 7, 7, 5]",cosine,Normal
19,Not Done,Not Done,"[0.0, 0.0, 0.0, 0.26, 0.33, 0.33, 0.67, 0.47, 1, 0.27, 0.47, 0.48, 0.47, 0.26]",Not Done,"[3.61, 4.0, 4.58, 3.61, 3.32, 3.32, 5.29, 3.16, 0.0, 4.69, 3.16, 3.32, 3.16, 3.61]",Not Done,"[8, 8, 8, 7, 7, 7, 17, 6, 0, 9, 8, 7, 7, 7]",cosine,Not Done
20,Occasional,Occasianal,"[0.0, 0.0, 0.0, 0.22, 0.29, 0.43, 0.54, 0.61, 0.43, 0.94, 0.2, 0.17, 0.41, 0.45]",Occasianal,"[4.12, 4.47, 5.0, 4.12, 3.87, 3.61, 5.83, 3.16, 4.0, 1.41, 4.24, 4.58, 3.74, 3.61]",Occasianal,"[10, 10, 10, 10, 10, 8, 20, 8, 8, 1, 9, 8, 8, 9]",cosine,Occasianal
