,Data,jw_word,jw_score,euc_word,euc_score,lev_word,lev_score,Measure,Final
0,non-reactive(0.01),non-reac,"[0.7551054859115812, 0.8924262179315174, 0.820588981349791]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
1,non-reactive(0.02),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
2,non-reactive(0.03),non-reac,"[0.7551054758532975, 0.89242623445237, 0.8205889674204446]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
3,non-reactive(0.05),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
4,non-reactive(0.04),non-reac,"[0.7551063442184659, 0.89242636720228, 0.82059318304533]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
5,non-reactive(0.06),non-reac,"[0.755105475729121, 0.8924262343875824, 0.8205889673124652]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
6,non-reactive(0.07),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
7,non-reactive(0.08),non-reac,"[0.7551054859115812, 0.8924262262243375, 0.820588981349791]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
8,non-reactive(0.09),non-reac,"[0.7551053269658619, 0.89242636720228, 0.8205958367477756]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
9,non-reactive(0.11),non-reac,"[0.7551054859115812, 0.892426201345877, 0.8207097248110681]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
10,non-reactive(0.12),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
11,non-reactive(0.13),non-reac,"[0.7331588519376085, 0.8793247499183651, 0.7988726008560086]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
12,non-reactive(0.14),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
13,non-reactive(0.15),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
14,non-reactive(0.16),non-reac,"[0.7331588518068965, 0.8793247498506325, 0.7988726007431209]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
15,non-reactive(0.10),non-reac,"[0.7551054859115812, 0.8924262179315174, 0.820588981349791]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
16,non-reactive(0.17),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
17,non-reactive(0.18),non-reac,"[0.7331588625252756, 0.8793247413163311, 0.7988726154185071]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
18,non-reactive(0.19),non-reac,"[0.7331592640723562, 0.8793253568697535, 0.7988740025811492]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
19,non-reactive(0.21),non-reac,"[0.733161405656786, 0.8793253568697535, 0.7988749273562439]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
20,non-reactive(0.22),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205688574395781]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
21,non-reactive(0.23),non-reac,"[0.733161395069119, 0.879325374141554, 0.7988749127937455]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
22,non-reactive(0.20),non-reac,"[0.7551063442184659, 0.89242636720228, 0.8205896447754024]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",jw,non-reac
23,non-reactive(0.24),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
24,non-reactive(0.25),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
25,non-reactive(0.27),non-reac,"[0.7331623091377174, 0.8793255129255508, 0.7988756209375648]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
26,non-reactive(0.26),non-reac,"[0.7331613949384069, 0.8793253740738215, 0.7988749126808578]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",jw,non-reac
