,smp,ref,cos,ref_lp,lp,ref_lev,lv,ecul,refe
0,non-reactive(0.01),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
1,non-reactive(0.02),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
2,non-reactive(0.03),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
3,non-reactive(0.05),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
4,non-reactive(0.04),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
5,non-reactive(0.06),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
6,non-reactive(0.07),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
7,non-reactive(0.08),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
8,non-reactive(0.09),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
9,non-reactive(0.11),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
10,non-reactive(0.12),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
11,non-reactive(0.13),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
12,non-reactive(0.14),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
13,non-reactive(0.15),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
14,non-reactive(0.16),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
15,non-reactive(0.10),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
16,non-reactive(0.17),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
17,non-reactive(0.18),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
18,non-reactive(0.19),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
19,non-reactive(0.21),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
20,non-reactive(0.22),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
21,non-reactive(0.23),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
22,non-reactive(0.20),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
23,non-reactive(0.24),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
24,non-reactive(0.25),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
25,non-reactive(0.27),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
26,non-reactive(0.26),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
27,non-reactive(0.28),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
28,non-reactive(0.29),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
29,non-reactive(0.31),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
30,non-reactive(0.32),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
31,non-reactive(0.30),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
32,non-reactive(0.34),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
33,non-reactive(0.33),non-reac,"[0.51, 0.71, 0.51]",non-reac,"[4.24, 3.46, 4.36]",non-reac,"[14, 10, 14]",cosine,non-reac
34,non-reactive(0.35),non-reac,"[0.53, 0.74, 0.53]",non-reac,"[4.0, 3.16, 4.12]",non-reac,"[14, 10, 14]",cosine,non-reac
