test_id,test_name,attr_id,attr_name,unique
10008,Chikungunya Antibody IgM ICT,10008.0,Chikungunya Antibody IgM,['Negative']
10010,Pleural Fluid for Gram Stain,10055.0,Pus cells,['Occasional' '(++)' 'Not found' 'Few']
10010,Pleural Fluid for Gram Stain,10056.0,Gram stain,['No microorganism seen.']
10010,Pleural Fluid for Gram Stain,10058.0,Epithelial cells,['Not found']
10010,Pleural Fluid for Gram Stain,10059.0,Gram negative extracellur diplococci,['Occasional']
10010,Pleural Fluid for Gram Stain,10061.0,Gram Positive Cocci,['Few' 'A few' 'No microorganism seen.' 'Occasional']
10010,Pleural Fluid for Gram Stain,10062.0,Gram Negative Bacilli,['Few']
10010,Pleural Fluid for Gram Stain,10063.0,Gram Positive Bacilli,['Not found']
100151,Anti- Scl 70,101957.0,Anti- Scl 70,['0.58 U/ml']
100153,Folic Acid (Folate),101959.0,Serum Folate,['>20.0' '> 20.0' '> 40.0']
10016,Peritoneal Fluid for AFB,10112.0,AFB,['Not found']
10017,HIV Ab I&II,10113.0,HIV Ab I&II,['Negative']
100174,TSH,100718.0,TSH,['> 100' '>100' '> 100.0']
100175,P-ANCA,100733.0,P-ANCA,['2.99 U/ml']
10018,Iron Profile,10116.0,Serum Ferritin,['>40000.00']
100207,CA-19.9,101265.0,Serum CA 19-9,['> 12000.00' '>12000.0' '>12000' '> 1200.00']
100225,Tissue Transglutaminase lgA (tTg-A),100722.0,Tissue Transglutaminase -IgA,['13.8 U/ml' 'Negative' '12.3 U/ml' '7.18 U/ml' '10.8 u/ml']
100304,Free-T4/F-T4,100715.0,F-T4,['> 5.00']
100308,PSA,100721.0,Serum PSA,['> 1000.000' '> 1000.0']
100317,Anti-HBc Total,100741.0,Anti-HBc Total,['Negative' 'Positive']
100319,Anti-smooth muscle antibody (ASMA),100746.0,Anti-smooth muscle antibody,['0.58 U/ml']
100322,HBs Ab,100751.0,HBs Ab,['> 25000.00']
100330,Anti-Thyroid Antibody,102433.0,Anti-Thyroid Peroxidase,['> 2000.00']
100330,Anti-Thyroid Antibody,102433.0,Anti-Thyroid Peroxidase Ab,['> 2000.00']
100378,Free-T3/F-T3,102805.0,F-T3,['> 20.00']
100380,HBe Ag,100738.0,HBe Ag,['Negative']
100388,Anti-HCV,100744.0,Anti-HCV,['Negative' 'Non-Reactive']
100391,Anti-HAV IgM,100743.0,Anti-HAV IgM,['Negative' 'Positive']
10040,NT Pro BNP,10397.0,Pro BNP,['> 5000.0']
100415,CUS 2hrs After Breakfast,100855.0,Blood glucose 2hrs ABF,['(+)']
10043,Serum IgE,10400.0,Serum IgE,['> 1000.0']
100440,LDH Serum,101225.0,LDH,['>12664']
100441,Lipid Profile Serum (F),102181.0,LDL Cholesterol,['**' '-' '---' '--' '..' '***']
100458,CMV IgM,101260.0,Cytomegalo Virus IgM,['Negative']
10046,Rubella IgG,10404.0,Rubella IgG,['>350.0' '>500.0']
100464,HIV(1+2)-Confirmetory,101346.0,HIV(1+2)-Confirmetory,['Negative']
10047,Cytomegalo Virus (CMV) IgG,10405.0,Cytomegalo Virus IgG,['>180.00']
10056,Anti-HEV IgM (ELISA),10427.0,Anti-HEV IgM (ELISA),['Negative' 'Positive']
10057,Grouping + Cross Matching + Screening,10428.0,Blood Bag No :,['1298 (2)']
10057,Grouping + Cross Matching + Screening,10429.0,Unit :,"['1 Unit' '1 Unit (200 ml)' '140 ml' '01- Unit' '1 Unit (120ml)' '1 Bag'
 '01 Bag' '01 Unit' '1 Unit (160ML)' 'Bag' '1  Bag' '1Bag' '120 ML'
 '01  Bag' '1 Unit(200 ml)' '1 Unit (80 ml)' '1Unit' '150 ml' '50 ml'
 '60 ml' '1 Unit  (170 ml)' '1 Unit (160ml)' '1 Unit (180 ml)' '100 ml']"
10057,Grouping + Cross Matching + Screening,10430.0,Patient's Blood Grouping Report:,['Bag']
10057,Grouping + Cross Matching + Screening,10431.0,Blood Group :,"['""O""' '""A""' '""AB""' '""B""' 'O' ""''B''"" ""''O''"" 'AB']"
10057,Grouping + Cross Matching + Screening,10432.0,Rh Type :,['Positive' 'Negative' 'positive']
10057,Grouping + Cross Matching + Screening,10433.0,Donor  information :,"['Stock' 'stock' 'Out Blood (QUANTUM)' 'Stock PRBC' 'Stock W/B'
 'Out Side Blood' 'Out Blood' 'Same Donor']"
